6/24,13,47,0,USDJPY,101.27
6/24,13,47,0,USDJPY,101.27
6/24,13,47,0,USDJPY,101.27
6/24,13,59,0,USDJPY,101.37
6/24,14,0,0,USDJPY,101.35
6/24,14,1,0,USDJPY,101.25
6/24,14,2,0,USDJPY,101.18
6/24,14,3,0,USDJPY,101.24
6/24,14,4,0,USDJPY,101.41
6/24,14,5,0,USDJPY,101.4
6/24,14,6,0,USDJPY,101.37
6/24,14,7,0,USDJPY,101.37
6/24,14,8,0,USDJPY,101.43
6/24,14,9,0,USDJPY,101.49
6/24,14,10,0,USDJPY,101.55
6/24,14,11,0,USDJPY,101.68
6/24,14,12,0,USDJPY,101.56
6/24,14,13,0,USDJPY,101.54
6/24,14,14,0,USDJPY,101.50
6/24,14,15,0,USDJPY,101.46
6/24,14,16,0,USDJPY,101.39
6/24,14,17,0,USDJPY,101.42
6/24,14,18,0,USDJPY,101.48
6/24,14,19,0,USDJPY,101.55
6/24,14,20,0,USDJPY,101.55
6/24,14,21,0,USDJPY,101.56
6/24,14,22,0,USDJPY,101.54
6/24,14,23,0,USDJPY,101.43
6/24,14,24,0,USDJPY,101.46
6/24,14,26,0,USDJPY,101.48
6/24,14,27,0,USDJPY,101.49
6/24,14,28,0,USDJPY,101.52
6/24,14,29,0,USDJPY,101.50
6/24,14,30,0,USDJPY,101.54
6/24,14,31,0,USDJPY,101.55
6/24,14,32,0,USDJPY,101.59
6/24,14,33,0,USDJPY,101.70
6/24,14,34,0,USDJPY,101.77
6/24,14,35,0,USDJPY,101.85
6/24,14,36,0,USDJPY,102.32
6/24,14,37,0,USDJPY,102.23
6/24,14,38,0,USDJPY,102.25
